Fecha;codLinea;codAseguradora;primaAcumulada;primaMensual
2011-06-01 00:00:00.000;19;11;2.257.287;403.749.999.999.999
2011-06-01 00:00:00.000;4;1;96.075.687;12.380.422
2011-06-01 00:00:00.000;4;4;2.625.336;47.626
2011-07-01 00:00:00.000;2;1;596.606.846;68.121.846
2011-07-01 00:00:00.000;10;1;579.033.901;77.816.322
2011-07-01 00:00:00.000;10;8;13.718.196;1.999.343
2011-07-01 00:00:00.000;10;3;2.255.023;395.472
2011-07-01 00:00:00.000;10;12;593.378;584.156
2011-07-01 00:00:00.000;7;3;0.5991;-0.1197
2011-07-01 00:00:00.000;17;1;35.965.965;4.434.395
2011-07-01 00:00:00.000;13;1;1.905.063;218.228
2011-07-01 00:00:00.000;13;8;199.551;0
2011-07-01 00:00:00.000;13;3;91.011;0.0387000000000004
2011-07-01 00:00:00.000;8;3;9.193.194;1.551.658
2011-07-01 00:00:00.000;12;1;5.961.756;436.259
2011-07-01 00:00:00.000;17;3;572.205;11.514
2011-07-01 00:00:00.000;8;1;432.621.698;89.766.347
2011-07-01 00:00:00.000;8;8;9.093.515;775.940.000.000.003
2011-07-01 00:00:00.000;3;1;6.131.437;-162.528
2011-07-01 00:00:00.000;6;1;538.147;64.015
2011-07-01 00:00:00.000;5;1;6.968.997;2.231.004
2011-07-01 00:00:00.000;11;1;38.349.159;6.211.108
2011-07-01 00:00:00.000;11;8;128.241;540.950.000.000.001
2011-07-01 00:00:00.000;11;3;2.652.932;801.830.000.000.001
2011-07-01 00:00:00.000;12;3;25.860.232;3.909.969
2011-07-01 00:00:00.000;18;3;314.774;0
2011-07-01 00:00:00.000;19;1;282.199.548;23.998.495
2011-07-01 00:00:00.000;19;4;4.912.115;702.706
2011-07-01 00:00:00.000;19;7;4.910.998;757.639
2011-07-01 00:00:00.000;16;1;6.959.754;698.787
2011-07-01 00:00:00.000;9;1;40.614.674;7.016.768
2011-07-01 00:00:00.000;4;11;11.047.056;486.927.000.000.001
